well_id,date,oil_rate,gas_rate,water_cut,bottomhole_pressure
WELL_1,2020-01-01,0.09786835436049612,-0.125004233407558,-0.8863513575873787,0.29289396151912883
WELL_1,2020-02-01,-0.006990596740035331,-0.16576648343176176,-0.6893843892346276,0.2515442257752518
WELL_1,2020-03-01,-0.11184954784056678,-0.2065287334559655,-0.49241742088187657,0.21019449003137475
WELL_1,2020-04-01,-0.21670849894109823,-0.24729098348016926,-0.29545045252912605,0.1688447542874977
WELL_1,2020-05-01,-0.3215674500416297,-0.288053233504373,-0.09848348417637498,0.1274950185436207
WELL_1,2020-06-01,-0.4264264011421611,-0.32881548352857676,0.09848348417637608,0.08614528279974364
WELL_1,2020-07-01,-0.5312853522426926,-0.3695777335527805,0.2954504525291266,0.0447955470558666
WELL_1,2020-08-01,-0.636144303343224,-0.41033998357698426,0.4924174208818776,0.0034458113119895575
WELL_1,2020-09-01,-0.7410032544437555,-0.451102233601188,0.6893843892346287,-0.03790392443188748
WELL_1,2020-10-01,-0.8458622055442869,-0.49186448362539176,0.8863513575873792,-0.07925366017576452
WELL_2,2020-01-01,1.7756115719689993,1.505485767560592,-1.8711861993511327,1.3266373551160549
WELL_2,2020-02-01,1.6707526208684678,1.4647235175363882,-1.674219230998382,1.2852876193721778
WELL_2,2020-03-01,1.5658936697679364,1.4239612675121844,-1.4772522626456313,1.2439378836283008
WELL_2,2020-04-01,1.4610347186674049,1.3831990174879807,-1.2802852942928802,1.2025881478844238
WELL_2,2020-05-01,1.3561757675668735,1.342436767463777,-1.0833183259401291,1.1612384121405466
WELL_2,2020-06-01,1.251316816466342,1.3016745174395732,-0.8863513575873787,1.1198886763966696
WELL_2,2020-07-01,1.1464578653658106,1.2609122674153694,-0.6893843892346276,1.0785389406527925
WELL_2,2020-08-01,1.041598914265279,1.2201500173911657,-0.49241742088187657,1.0371892049089155
WELL_2,2020-09-01,0.9367399631647477,1.179387767366962,-0.29545045252912605,0.9958394691650385
WELL_2,2020-10-01,0.8318810120642163,1.1386255173427582,-0.09848348417637498,0.9544897334211615
WELL_3,2020-01-01,-0.7410032544437555,-0.940249233891633,0.09848348417637608,-1.1543467895165676
WELL_3,2020-02-01,-0.7829468348839681,-0.9565541339013145,0.2954504525291266,-1.1750216573885062
WELL_3,2020-03-01,-0.8248904153241806,-0.9728590339109959,0.4924174208818776,-1.1956965252604446
WELL_3,2020-04-01,-0.8668339957643932,-0.9891639339206775,0.6893843892346287,-1.2163713931323832
WELL_3,2020-05-01,-0.9087775762046058,-1.005468833930359,0.8863513575873792,-1.2370462610043216
WELL_3,2020-06-01,-0.9507211566448184,-1.0217737339400406,1.0833183259401302,-1.2577211288762602
WELL_3,2020-07-01,-0.992664737085031,-1.0380786339497219,1.2802852942928813,-1.2783959967481986
WELL_3,2020-08-01,-1.0346083175252436,-1.0543835339594034,1.4772522626456324,-1.2990708646201372
WELL_3,2020-09-01,-1.076551897965456,-1.070688433969085,1.6742192309983834,-1.3197457324920758
WELL_3,2020-10-01,-1.1184954784056687,-1.0869933339787665,1.8711861993511334,-1.3404206003640142
